[2023-03-20 19:17:21:309][main] INFO  c.e.s.StockdividendApplication - Starting StockdividendApplication using Java 11.0.18 on bagbongchan-ui-MacBookPro.local with PID 72294 (/Users/maccutter/Stockdividend/build/classes/java/main started by maccutter in /Users/maccutter/Stockdividend)
[2023-03-20 19:17:21:310][main] INFO  c.e.s.StockdividendApplication - No active profile set, falling back to default profiles: default
[2023-03-20 19:17:22:654][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:17:22:654][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-20 19:17:22:691][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 3 JPA repository interfaces.
[2023-03-20 19:17:22:699][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:17:22:700][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2023-03-20 19:17:22:708][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.CompanyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:17:22:708][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.DividendRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:17:22:709][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.MemberRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:17:22:709][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
[2023-03-20 19:17:22:863][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@58d6e55a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2023-03-20 19:17:22:864][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2023-03-20 19:17:22:1008][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-03-20 19:17:22:1012][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-03-20 19:17:22:1012][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-03-20 19:17:22:1012][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
[2023-03-20 19:17:22:1045][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-03-20 19:17:22:1045][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 713 ms
[2023-03-20 19:17:22:1064][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-03-20 19:17:22:1116][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-03-20 19:17:22:1119][main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:Stockdividend'
[2023-03-20 19:17:22:1192][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-03-20 19:17:22:1213][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
[2023-03-20 19:17:22:1270][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-03-20 19:17:22:1329][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-03-20 19:17:23:1599][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-03-20 19:17:23:1603][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-03-20 19:17:23:1894][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-03-20 19:17:23:2084][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
[2023-03-20 19:17:23:2110][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6bec566e, org.springframework.security.web.context.SecurityContextPersistenceFilter@68c47cf9, org.springframework.security.web.header.HeaderWriterFilter@367fbb28, org.springframework.security.web.authentication.logout.LogoutFilter@71ce19ee, com.example.stockdividend.security.JwtAuthenticationFilter@2c8f65da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e764e5c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2b9bbaa8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@47400608, org.springframework.security.web.session.SessionManagementFilter@50841932, org.springframework.security.web.access.ExceptionTranslationFilter@48301bfe, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7ed5cc8c]
[2023-03-20 19:17:23:2402][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-03-20 19:17:23:2414][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-03-20 19:17:23:2423][main] INFO  c.e.s.StockdividendApplication - Started StockdividendApplication in 2.344 seconds (JVM running for 2.758)
[2023-03-20 19:18:03:41978][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-03-20 19:18:03:41981][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-03-20 19:18:03:41983][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2023-03-20 19:18:05:265][main] INFO  c.e.s.StockdividendApplication - Starting StockdividendApplication using Java 11.0.18 on bagbongchan-ui-MacBookPro.local with PID 72707 (/Users/maccutter/Stockdividend/build/classes/java/main started by maccutter in /Users/maccutter/Stockdividend)
[2023-03-20 19:18:05:266][main] INFO  c.e.s.StockdividendApplication - No active profile set, falling back to default profiles: default
[2023-03-20 19:18:05:575][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:18:05:576][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-20 19:18:06:607][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 3 JPA repository interfaces.
[2023-03-20 19:18:06:614][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:18:06:615][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
